Language    ;Imperative ;Object-oriented ;Functional ;Procedural ;Generic ;Reflective 
Haskell     ;         0 ;              0 ;         1 ;         0 ;      1 ;         0           
Java        ;         1 ;              1 ;         1 ;         1 ;      1 ;         1            
C#          ;         1 ;              1 ;         1 ;         1 ;      1 ;         1            
C++         ;         1 ;              1 ;         1 ;         1 ;      1 ;         0            
C           ;         1 ;              0 ;         0 ;         1 ;      0 ;         0            
Eiffel      ;         1 ;              1 ;         1 ;         0 ;      1 ;         1            
Go          ;         1 ;              0 ;         0 ;         1 ;      1 ;         1            
