2024-01-03 16:16:55,345 INFO [http-nio-8080-exec-9] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:16:55,643 INFO [http-nio-8080-exec-10] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:16:56,021 INFO [http-nio-8080-exec-2] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:16:56,379 INFO [http-nio-8080-exec-1] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:16:56,736 INFO [http-nio-8080-exec-3] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:16:57,305 INFO [http-nio-8080-exec-4] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:16:57,649 INFO [http-nio-8080-exec-5] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:16:57,968 INFO [http-nio-8080-exec-6] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:16:58,350 INFO [http-nio-8080-exec-7] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:16:58,661 INFO [http-nio-8080-exec-8] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:16:59,063 INFO [http-nio-8080-exec-9] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:16:59,439 INFO [http-nio-8080-exec-10] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:16:59,786 INFO [http-nio-8080-exec-2] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:00,137 INFO [http-nio-8080-exec-1] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:00,433 INFO [http-nio-8080-exec-3] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:00,791 INFO [http-nio-8080-exec-4] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:01,150 INFO [http-nio-8080-exec-5] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:01,681 INFO [http-nio-8080-exec-6] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:02,007 INFO [http-nio-8080-exec-7] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:02,526 INFO [http-nio-8080-exec-8] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:02,901 INFO [http-nio-8080-exec-9] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:03,360 INFO [http-nio-8080-exec-10] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:04,362 INFO [http-nio-8080-exec-2] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:04,918 INFO [http-nio-8080-exec-1] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:12,277 INFO [http-nio-8080-exec-3] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:12,624 INFO [http-nio-8080-exec-4] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:13,020 INFO [http-nio-8080-exec-5] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:13,567 INFO [http-nio-8080-exec-6] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:14,040 INFO [http-nio-8080-exec-7] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:14,448 INFO [http-nio-8080-exec-8] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:14,778 INFO [http-nio-8080-exec-9] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:15,312 INFO [http-nio-8080-exec-10] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:17:15,702 INFO [http-nio-8080-exec-2] readLogger [ProductController.java:52] UserID: 65956eb952f4d900d2ac7703, Operation: Read, Method: getProducts
2024-01-03 16:36:13,478 INFO [http-nio-8080-exec-5] readLogger [ProductController.java:52] UserID: 6595706452f4d900d2ac7704, Operation: Read, Method: getProducts
